Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2003-6-4,1060.81,1074.79,1043.94,1059.55,0.88,11.06,-0.4,1.3,64.34,4.26,12.85,6.1,837.86,4.21,0.45,5.76
801813,小盘指数,2003-6-3,1073.22,1086.01,1053.18,1063.82,0.97,11.9,-1.47,1.45,64.58,4.28,12.91,7.51,841,4.23,0.45,5.76
801813,小盘指数,2003-6-2,1072.82,1090.63,1056.99,1079.45,0.93,12.43,0.71,1.38,65.21,4.32,13.03,7.33,849.13,4.27,0.45,5.76
801813,小盘指数,2003-5-30,1063.35,1083.95,1053,1071.82,1.09,14.24,0.83,1.63,65.01,4.3,12.98,6.16,846.47,4.25,0.47,5.76
801813,小盘指数,2003-5-29,1052.01,1071.38,1039.86,1062.91,1,11.9,0.91,1.49,64.58,4.28,12.89,5.37,840.87,4.23,0.44,5.76
801813,小盘指数,2003-5-28,1050.73,1069.5,1039.85,1053.28,0.93,10.61,0.28,1.38,63.81,4.23,12.79,5.31,830.96,4.18,0.44,5.76
801813,小盘指数,2003-5-27,1042.57,1060.08,1029.63,1050.34,0.81,9.99,0.76,1.22,63.76,4.22,12.79,5.25,830.2,4.17,0.43,5.76
801813,小盘指数,2003-5-26,1040.44,1054.49,1028.91,1042.37,0.68,8.11,0.17,1.02,63.35,4.2,12.72,4.05,824.92,4.15,0.42,5.76
801813,小盘指数,2003-5-23,1036.26,1052.98,1023.94,1040.58,0.77,9.39,0.45,1.15,63.26,4.19,12.71,3.73,822.5,4.13,0.44,5.76
801813,小盘指数,2003-5-22,1029.92,1044.67,1018.85,1035.88,0.56,6.92,0.43,0.85,62.83,4.16,12.66,5,816.89,4.11,0.46,5.76
801813,小盘指数,2003-5-21,1028.32,1044.73,1019.01,1031.39,0.52,6.1,0.16,0.79,62.71,4.16,12.63,4.64,815.32,4.1,0.47,5.76
801813,小盘指数,2003-5-20,1038.54,1046.72,1019.2,1029.75,0.51,5.89,-1.02,0.78,62.61,4.15,12.6,3.79,814.03,4.09,0.47,5.76
801813,小盘指数,2003-5-19,1031.37,1052.47,1020.77,1040.26,0.68,8.28,0.86,1.02,63.26,4.19,12.74,4.44,822.43,4.13,0.45,5.76
801813,小盘指数,2003-5-16,1034.53,1047.99,1015.17,1031.37,0.7,8.49,-0.24,1.05,62.85,4.17,12.63,3.84,817.16,4.09,0.46,5.76
801813,小盘指数,2003-5-15,1006.31,1044.3,991.87,1033.85,1.05,12.83,2.72,1.59,62.73,4.16,12.66,4.43,815.53,4.08,0.45,5.76
801813,小盘指数,2003-5-14,983.17,1015.91,973.76,1005.72,0.74,8.61,1.84,1.11,61.31,4.06,12.39,3.95,797.09,3.99,0.44,5.76
801813,小盘指数,2003-5-13,1021.73,1029.68,970.61,987.21,0.89,10.6,-3.73,1.35,60.18,3.99,12.17,3.96,782.44,3.91,0.45,5.76
801813,小盘指数,2003-5-12,1040.3,1053.01,1011.21,1024.04,0.57,6.98,-1.79,0.86,62.43,4.14,12.62,3.62,811.61,4.06,0.43,5.76
801813,小盘指数,2003-4-30,1047.7,1065.63,1026.36,1042.38,0.87,11.13,-0.39,1.31,70.31,4.2,12.85,5.11,825.09,4.13,0.43,5.76
801813,小盘指数,2003-4-29,1066.43,1076.22,1033.68,1046.48,0.92,12.06,-1.8,1.39,70.53,4.23,12.88,4.97,828.33,4.14,0.43,5.76
801813,小盘指数,2003-4-28,1060.9,1082.21,1029.36,1065.3,1.09,14.05,0.25,1.65,71.8,4.3,13.11,5.02,843.17,4.22,0.42,5.76
801813,小盘指数,2003-4-25,1076.1,1092.02,1051.59,1062.63,0.7,8.92,-1.5,1.05,71.62,4.29,13.09,5.55,841.08,4.21,0.43,5.76
801813,小盘指数,2003-4-24,1102.28,1112.35,1067.55,1078.55,0.89,11.55,-2.4,1.35,72.69,4.35,13.29,4.66,853.65,4.27,0.43,5.76
801813,小盘指数,2003-4-23,1116.62,1129.13,1094.14,1104.41,0.77,10.27,-1.28,1.16,74.45,4.46,13.6,4.91,874.29,4.37,0.4,5.76
801813,小盘指数,2003-4-22,1120.16,1135.53,1105.33,1118.51,0.63,8.73,-0.43,0.96,75.4,4.52,13.78,5.51,885.51,4.43,0.39,5.76
